FrameTime (s),SystemTime (UTC),GpsTimeOfWeek (s),PositionX (m),PositionY (m),PositionZ (m)
309.29,2022-08-08 18:08:51,151733,-1520432.32,-5083352.55,3530363.8
310.296,2022-08-08 18:08:52,151734,-1520432.26,-5083352.54,3530363.68
311.331,2022-08-08 18:08:53,151735,-1520432.28,-5083352.51,3530363.68
312.317,2022-08-08 18:08:54,151736,-1520432.17,-5083352.55,3530363.54
313.314,2022-08-08 18:08:55,151737,-1520432.08,-5083352.59,3530363.47
314.319,2022-08-08 18:08:56,151738,-1520432.01,-5083352.58,3530363.39
315.319,2022-08-08 18:08:57,151739,-1520431.88,-5083352.68,3530363.26
316.319,2022-08-08 18:08:58,151740,-1520431.67,-5083352.8,3530363.09
317.293,2022-08-08 18:08:59,151741,-1520431.49,-5083352.9,3530362.93
318.292,2022-08-08 18:09:00,151742,-1520431.34,-5083352.95,3530362.76
319.319,2022-08-08 18:09:01,151743,-1520431.25,-5083353.03,3530362.65
320.319,2022-08-08 18:09:02,151744,-1520431.2,-5083353.09,3530362.58
321.299,2022-08-08 18:09:03,151745,-1520431.13,-5083353.18,3530362.5
322.319,2022-08-08 18:09:04,151746,-1520431.08,-5083353.34,3530362.51
323.316,2022-08-08 18:09:05,151747,-1520430.94,-5083353.52,3530362.41
324.286,2022-08-08 18:09:06,151748,-1520430.86,-5083353.74,3530362.33
325.312,2022-08-08 18:09:07,151749,-1520430.89,-5083353.85,3530362.32
326.29,2022-08-08 18:09:08,151750,-1520430.9,-5083353.97,3530362.27
327.293,2022-08-08 18:09:09,151751,-1520430.78,-5083354.2,3530362.15
328.317,2022-08-08 18:09:10,151752,-1520430.72,-5083354.47,3530362.13
329.321,2022-08-08 18:09:11,151753,-1520430.74,-5083354.61,3530362.13
330.319,2022-08-08 18:09:12,151754,-1520430.88,-5083354.69,3530362.21
331.293,2022-08-08 18:09:13,151755,-1520431,-5083354.79,3530362.23
332.318,2022-08-08 18:09:14,151756,-1520431.11,-5083355.04,3530362.38
333.294,2022-08-08 18:09:15,151757,-1520431.09,-5083355.28,3530362.39
334.318,2022-08-08 18:09:16,151758,-1520431.15,-5083355.42,3530362.41
335.315,2022-08-08 18:09:17,151759,-1520431.2,-5083355.48,3530362.38
336.295,2022-08-08 18:09:18,151760,-1520431.23,-5083355.65,3530362.35
337.331,2022-08-08 18:09:19,151761,-1520431.33,-5083355.9,3530362.43
338.295,2022-08-08 18:09:20,151762,-1520431.53,-5083356.03,3530362.58
339.313,2022-08-08 18:09:21,151763,-1520431.64,-5083356.12,3530362.64
340.319,2022-08-08 18:09:22,151764,-1520431.8,-5083356.17,3530362.74
